,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Wind_m/s4,Precipitation_mm4,Wind_m/s5,Precipitation_mm5,Wind_m/s6,Precipitation_mm6,Wind_m/s7,Precipitation_mm7,Target: Max_temp
90,2017.10.06,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,14.8
91,2017.10.07,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,14.8
92,2017.10.08,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,13.6
93,2017.10.09,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,16.0
94,2017.10.10,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,17.8
95,2017.10.11,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,20.3
96,2017.10.12,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,17.6
97,2017.10.13,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,18.4
98,2017.10.14,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,20.5
99,2017.10.15,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,21.0
100,2017.10.16,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,21.4
101,2017.10.17,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,20.5
102,2017.10.18,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,18.8
103,2017.10.19,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,19.4
104,2017.10.20,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,16.9
105,2017.10.21,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,16.4
106,2017.10.22,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,10.6
