,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Target: Max_temp
200,2018.01.20,3.8,0.1,7.1,1.2,7.3,0.3,8.4,0.0,2.2
201,2018.01.21,9.4,6.2,3.8,0.1,7.1,1.2,7.3,0.3,1.3
202,2018.01.22,7.1,0.0,9.4,6.2,3.8,0.1,7.1,1.2,-0.7
203,2018.01.23,2.0,0.7,7.1,0.0,9.4,6.2,3.8,0.1,-2.3
204,2018.01.24,2.8,0.3,2.0,0.7,7.1,0.0,9.4,6.2,1.4
205,2018.01.25,4.6,1.4,2.8,0.3,2.0,0.7,7.1,0.0,0.2
206,2018.01.26,3.8,0.0,4.6,1.4,2.8,0.3,2.0,0.7,2.0
207,2018.01.27,3.0,0.1,3.8,0.0,4.6,1.4,2.8,0.3,3.9
208,2018.01.28,3.7,0.1,3.0,0.1,3.8,0.0,4.6,1.4,8.5
209,2018.01.29,4.8,0.1,3.7,0.1,3.0,0.1,3.8,0.0,6.6
210,2018.01.30,7.8,0.0,4.8,0.1,3.7,0.1,3.0,0.1,4.7
211,2018.01.31,4.1,0.1,7.8,0.0,4.8,0.1,3.7,0.1,8.3
212,2018.02.01,7.4,6.9,4.1,0.1,7.8,0.0,4.8,0.1,8.7
213,2018.02.02,4.7,7.5,7.4,6.9,4.1,0.1,7.8,0.0,2.4
214,2018.02.03,7.6,13.5,4.7,7.5,7.4,6.9,4.1,0.1,2.4
215,2018.02.04,6.9,0.0,7.6,13.5,4.7,7.5,7.4,6.9,1.9
216,2018.02.05,1.7,0.1,6.9,0.0,7.6,13.5,4.7,7.5,0.2
217,2018.02.06,4.2,1.6,1.7,0.1,6.9,0.0,7.6,13.5,2.3
218,2018.02.07,5.7,3.6,4.2,1.6,1.7,0.1,6.9,0.0,2.8
219,2018.02.08,4.8,7.4,5.7,3.6,4.2,1.6,1.7,0.1,1.4
220,2018.02.09,3.6,0.4,4.8,7.4,5.7,3.6,4.2,1.6,1.1
221,2018.02.10,2.1,0.6,3.6,0.4,4.8,7.4,5.7,3.6,1.8
222,2018.02.11,2.0,0.2,2.1,0.6,3.6,0.4,4.8,7.4,3.3
223,2018.02.12,2.0,0.2,2.0,0.2,2.1,0.6,3.6,0.4,2.6
224,2018.02.13,5.0,1.1,2.0,0.2,2.0,0.2,2.1,0.6,1.7
225,2018.02.14,4.5,2.8,5.0,1.1,2.0,0.2,2.0,0.2,2.1
226,2018.02.15,2.0,0.1,4.5,2.8,5.0,1.1,2.0,0.2,2.4
227,2018.02.16,2.1,1.0,2.0,0.1,4.5,2.8,5.0,1.1,2.0
228,2018.02.17,3.6,2.3,2.1,1.0,2.0,0.1,4.5,2.8,3.3
229,2018.02.18,3.2,5.2,3.6,2.3,2.1,1.0,2.0,0.1,1.0
230,2018.02.19,3.8,1.6,3.2,5.2,3.6,2.3,2.1,1.0,0.9
231,2018.02.20,4.3,8.6,3.8,1.6,3.2,5.2,3.6,2.3,1.7
232,2018.02.21,4.5,3.9,4.3,8.6,3.8,1.6,3.2,5.2,0.4
233,2018.02.22,6.2,2.3,4.5,3.9,4.3,8.6,3.8,1.6,2.0
234,2018.02.23,4.4,0.2,6.2,2.3,4.5,3.9,4.3,8.6,-0.1
235,2018.02.24,6.2,1.4,4.4,0.2,6.2,2.3,4.5,3.9,-6.6
236,2018.02.25,5.7,0.0,6.2,1.4,4.4,0.2,6.2,2.3,-6.1
237,2018.02.26,6.9,0.8,5.7,0.0,6.2,1.4,4.4,0.2,-7.2
238,2018.02.27,6.6,1.9,6.9,0.8,5.7,0.0,6.2,1.4,-6.5
239,2018.02.28,3.9,0.2,6.6,1.9,6.9,0.8,5.7,0.0,-7.4
240,2018.03.01,4.3,0.7,3.9,0.2,6.6,1.9,6.9,0.8,-6.3
241,2018.03.02,4.7,2.5,4.3,0.7,3.9,0.2,6.6,1.9,-4.4
242,2018.03.03,3.5,0.1,4.7,2.5,4.3,0.7,3.9,0.2,-3.6
243,2018.03.04,4.0,0.1,3.5,0.1,4.7,2.5,4.3,0.7,-2.4
244,2018.03.05,4.0,0.4,4.0,0.1,3.5,0.1,4.7,2.5,1.8
245,2018.03.06,4.7,6.3,4.0,0.4,4.0,0.1,3.5,0.1,6.0
246,2018.03.07,2.9,0.2,4.7,6.3,4.0,0.4,4.0,0.1,6.4
247,2018.03.08,3.8,1.8,2.9,0.2,4.7,6.3,4.0,0.4,9.3
248,2018.03.09,3.5,0.0,3.8,1.8,2.9,0.2,4.7,6.3,9.7
249,2018.03.10,5.2,0.5,3.5,0.0,3.8,1.8,2.9,0.2,12.3
250,2018.03.11,5.6,3.6,5.2,0.5,3.5,0.0,3.8,1.8,13.4
251,2018.03.12,7.2,7.3,5.6,3.6,5.2,0.5,3.5,0.0,12.6
252,2018.03.13,5.9,2.9,7.2,7.3,5.6,3.6,5.2,0.5,10.9
253,2018.03.14,7.0,0.2,5.9,2.9,7.2,7.3,5.6,3.6,10.2
254,2018.03.15,4.4,2.5,7.0,0.2,5.9,2.9,7.2,7.3,9.9
255,2018.03.16,6.0,18.6,4.4,2.5,7.0,0.2,5.9,2.9,5.8
256,2018.03.17,6.5,1.5,6.0,18.6,4.4,2.5,7.0,0.2,-0.4
257,2018.03.18,10.4,13.4,6.5,1.5,6.0,18.6,4.4,2.5,0.6
