,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Target: Mean_temp
331,2018.05.30,5.4,0.0,5.2,0.4,3.3,0.0,22.15
332,2018.05.31,3.5,0.0,5.4,0.0,5.2,0.4,23.25
333,2018.06.01,2.5,0.0,3.5,0.0,5.4,0.0,22.7
334,2018.06.02,4.0,0.0,2.5,0.0,3.5,0.0,23.6
335,2018.06.03,5.8,0.0,4.0,0.0,2.5,0.0,21.85
336,2018.06.04,2.9,2.4,5.8,0.0,4.0,0.0,22.15
337,2018.06.05,2.1,6.5,2.9,2.4,5.8,0.0,19.5
338,2018.06.06,6.0,18.7,2.1,6.5,2.9,2.4,19.799999999999997
339,2018.06.07,5.2,0.9,6.0,18.7,2.1,6.5,21.1
340,2018.06.08,3.0,26.1,5.2,0.9,6.0,18.7,20.65
341,2018.06.09,3.1,31.0,3.0,26.1,5.2,0.9,23.450000000000003
342,2018.06.10,2.4,0.0,3.1,31.0,3.0,26.1,25.0
343,2018.06.11,3.4,0.0,2.4,0.0,3.1,31.0,23.45
344,2018.06.12,4.5,9.0,3.4,0.0,2.4,0.0,21.45
345,2018.06.13,4.3,1.7,4.5,9.0,3.4,0.0,18.8
346,2018.06.14,4.5,10.8,4.3,1.7,4.5,9.0,18.6
347,2018.06.15,5.3,6.2,4.5,10.8,4.3,1.7,21.15
348,2018.06.16,5.9,0.0,5.3,6.2,4.5,10.8,21.950000000000003
349,2018.06.17,4.3,0.0,5.9,0.0,5.3,6.2,21.799999999999997
350,2018.06.18,5.1,0.3,4.3,0.0,5.9,0.0,23.0
351,2018.06.19,3.9,2.7,5.1,0.3,4.3,0.0,23.95
352,2018.06.20,2.5,0.0,3.9,2.7,5.1,0.3,24.0
353,2018.06.21,3.8,0.6,2.5,0.0,3.9,2.7,16.35
354,2018.06.22,7.6,6.3,3.8,0.6,2.5,0.0,15.05
355,2018.06.23,5.1,0.0,7.6,6.3,3.8,0.6,14.45
356,2018.06.24,5.4,0.0,5.1,0.0,7.6,6.3,15.600000000000001
357,2018.06.25,2.7,0.0,5.4,0.0,5.1,0.0,16.75
358,2018.06.26,3.0,0.3,2.7,0.0,5.4,0.0,17.8
