Nap,Tmax  [°C],Tmin  [°C],Wind (m/s),Csapadék 	[mm]
2021.10.01péntek,17.1,13.0,2.9,0.0
2021.10.02szombat,20.4,13.1,5.3,0.0
2021.10.03vasárnap,22.2,12.5,5.4,0.0
2021.10.04hétfő,23.8,13.9,3.3,0.0
2021.10.05kedd,24.3,15.8,6.0,0.0
2021.10.06szerda,16.7,11.9,4.4,12.7
2021.10.07csütörtök,15.6,11.4,5.2,9.8
2021.10.08péntek,17.0,10.9,5.1,0.0
2021.10.09szombat,15.2,9.4,4.5,0.0
2021.10.10vasárnap,11.4,9.7,4.5,0.8
2021.10.11hétfő,15.2,11.2,3.6,0.2
2021.10.12kedd,15.2,9.2,5.4,0.0
2021.10.13szerda,13.1,8.3,5.9,0.0
2021.10.14csütörtök,12.8,6.1,3.4,0.0
2021.10.15péntek,13.7,7.7,1.5,0.0
2021.10.16szombat,15.8,8.9,2.1,0.0
2021.10.17vasárnap,15.5,9.1,2.0,0.0
2021.10.18hétfő,14.7,9.6,2.2,0.0
2021.10.19kedd,15.8,9.9,2.8,0.0
2021.10.20szerda,17.6,10.5,4.1,0.0
2021.10.21csütörtök,19.0,13.3,8.9,0.8
2021.10.22péntek,13.4,9.7,4.2,1.1
2021.10.23szombat,12.9,8.3,5.4,0.0
2021.10.24vasárnap,12.6,6.7,2.3,0.0
2021.10.25hétfő,13.3,6.8,3.5,0.0
2021.10.26kedd,12.5,7.3,3.2,0.0
2021.10.27szerda,14.2,7.5,1.6,0.0
2021.10.28csütörtök,14.3,8.2,2.1,0.0
2021.10.29péntek,15.9,8.1,4.3,0.0
2021.10.30szombat,16.6,8.8,5.6,0.0
2021.10.31vasárnap,15.7,8.6,4.1,0.0
2021.11.01hétfő,14.6,7.2,3.8,0.0
2021.11.02kedd,12.9,7.4,6.9,8.3
2021.11.03szerda,12.3,6.8,4.2,0.0
2021.11.04csütörtök,15.7,10.8,5.4,11.2
2021.11.05péntek,10.8,7.2,3.7,0.0
2021.11.06szombat,11.4,6.4,2.9,0.0
2021.11.07vasárnap,10.5,8.4,1.8,0.7
2021.11.08hétfő,10.7,7.9,4.8,5.6
2021.11.09kedd,11.9,6.1,1.9,0.0
2021.11.10szerda,11.4,5.6,4.2,0.0
2021.11.11csütörtök,11.2,6.1,2.7,0.0
2021.11.12péntek,10.7,6.0,1.5,0.0
2021.11.13szombat,10.5,5.9,2.2,0.0
2021.11.14vasárnap,11.9,7.4,1.8,0.0
2021.11.15hétfő,12.2,7.9,2.3,0.0
2021.11.16kedd,10.1,6.2,1.9,0.0
2021.11.17szerda,9.1,5.1,2.3,0.0
2021.11.18csütörtök,10.9,6.1,5.4,0.0
2021.11.19péntek,10.2,6.0,5.3,0.0
2021.11.20szombat,13.1,7.9,5.9,0.0
2021.11.21vasárnap,10.9,6.4,2.2,0.0
2021.11.22hétfő,9.7,6.0,2.0,0.0
2021.11.23kedd,8.3,4.7,2.5,0.0
2021.11.24szerda,6.6,3.2,1.7,0.0
2021.11.25csütörtök,7.2,2.3,3.8,0.0
2021.11.26péntek,6.9,5.9,3.5,10.7
2021.11.27szombat,6.3,2.6,3.6,0.6
2021.11.28vasárnap,9.0,4.2,3.1,1.5
2021.11.29hétfő,3.8,1.3,7.1,0.0
2021.11.30kedd,4.7,0.8,6.3,2.5
2021.12.01szerda,8.8,4.2,8.7,2.0
2021.12.02csütörtök,8.4,4.9,7.0,35.2
2021.12.03péntek,5.1,1.1,7.1,11.7
2021.12.04szombat,3.3,0.2,3.6,0.0
2021.12.05vasárnap,2.2,0.9,2.3,4.2
2021.12.06hétfő,2.4,1.2,3.8,6.4
2021.12.07kedd,1.7,-0.8,4.1,0.0
2021.12.08szerda,2.1,-0.3,3.9,0.0
2021.12.09csütörtök,3.0,0.3,5.4,5.8
2021.12.10péntek,3.1,1.2,3.1,0.0
2021.12.11szombat,1.8,-0.2,4.7,0.0
2021.12.12vasárnap,2.5,-0.5,5.5,0.0
2021.12.13hétfő,2.6,-0.8,2.9,0.0
2021.12.14kedd,3.6,0.5,1.7,0.0
2021.12.15szerda,4.0,0.5,1.7,0.0
2021.12.16csütörtök,4.5,1.7,2.0,0.0
2021.12.17péntek,5.1,1.4,4.6,0.0
2021.12.18szombat,3.9,0.7,3.4,0.0
2021.12.19vasárnap,6.9,1.1,7.2,0.0
2021.12.20hétfő,5.8,1.0,8.1,0.0
2021.12.21kedd,1.9,-0.2,3.8,0.0
2021.12.22szerda,0.9,-0.9,1.3,0.0
2021.12.23csütörtök,-0.3,-2.0,2.9,0.0
2021.12.24péntek,6.5,-0.1,3.8,1.3
2021.12.25szombat,6.2,2.8,3.3,0.0
2021.12.26vasárnap,2.9,0.7,2.7,0.7
2021.12.27hétfő,2.6,0.4,2.4,3.1
2021.12.28kedd,2.1,0.3,2.3,0.4
2021.12.29szerda,4.5,1.6,2.4,2.9
2021.12.30csütörtök,5.3,2.6,1.9,0.1
2021.12.31péntek,11.7,6.4,3.5,0.2
2022.01.01szombat,12.3,7.6,5.7,0.0
2022.01.02vasárnap,9.4,6.6,2.9,0.0
2022.01.03hétfő,11.8,7.0,7.3,0.6
2022.01.04kedd,11.0,6.4,7.4,2.6
2022.01.05szerda,11.3,4.4,6.9,3.5
2022.01.06csütörtök,5.3,2.0,6.0,0.0
2022.01.07péntek,2.9,0.4,2.2,0.0
2022.01.08szombat,1.6,-0.7,1.2,0.0
2022.01.09vasárnap,0.6,-1.2,2.8,0.0
2022.01.10hétfő,3.4,-0.3,4.2,0.0
2022.01.11kedd,2.6,0.1,4.6,0.0
2022.01.12szerda,1.0,-1.3,2.0,0.0
2022.01.13csütörtök,1.6,-1.7,2.4,0.0
2022.01.14péntek,5.3,-0.1,5.3,0.0
2022.01.15szombat,5.0,1.1,3.7,0.0
2022.01.16vasárnap,1.9,-0.4,1.9,0.0
2022.01.17hétfő,5.8,2.2,9.6,1.3
2022.01.18kedd,3.8,0.1,6.6,0.0
2022.01.19szerda,3.1,-0.1,1.7,0.0
2022.01.20csütörtök,4.5,-0.2,8.4,0.2
2022.01.21péntek,0.8,-1.8,6.8,0.0
2022.01.22szombat,3.0,-0.9,6.7,0.1
2022.01.23vasárnap,0.1,-2.4,3.5,0.0
2022.01.24hétfő,0.2,-2.2,1.8,0.0
2022.01.25kedd,1.1,-3.0,2.5,0.0
2022.01.26szerda,3.1,-0.6,3.0,0.0
2022.01.27csütörtök,4.4,0.4,4.5,0.0
2022.01.28péntek,6.0,2.6,8.7,0.7
2022.01.29szombat,3.9,0.7,7.1,3.0
2022.01.30vasárnap,7.5,3.6,12.5,1.5
2022.01.31hétfő,4.2,1.2,7.7,0.2
2022.02.01kedd,4.7,1.2,6.2,0.0
2022.02.02szerda,5.9,1.1,7.8,3.3
2022.02.03csütörtök,5.4,1.1,8.0,0.0
2022.02.04péntek,7.0,2.0,2.1,0.0
2022.02.05szombat,7.4,3.8,6.7,0.0
2022.02.06vasárnap,7.2,2.0,5.1,0.1
2022.02.07hétfő,6.6,3.6,8.4,2.5
2022.02.08kedd,6.5,2.1,8.0,0.0
2022.02.09szerda,11.0,6.2,6.0,0.0
2022.02.10csütörtök,11.2,5.0,1.8,0.0
2022.02.11péntek,11.0,5.1,6.0,0.1
2022.02.12szombat,7.4,1.8,4.6,0.0
2022.02.13vasárnap,6.9,0.5,4.3,0.0
2022.02.14hétfő,9.4,0.7,4.1,0.7
2022.02.15kedd,10.5,7.3,4.9,1.1
2022.02.16szerda,10.2,5.8,4.0,4.8
2022.02.17csütörtök,13.8,6.0,8.1,0.6
2022.02.18péntek,11.7,5.8,7.1,0.0
2022.02.19szombat,9.4,6.3,5.7,0.3
2022.02.20vasárnap,8.9,3.8,5.8,0.0
2022.02.21hétfő,6.6,4.4,6.2,3.4
2022.02.22kedd,8.6,4.4,8.2,0.0
2022.02.23szerda,9.1,3.4,7.6,1.7
2022.02.24csütörtök,10.4,3.3,3.8,0.0
2022.02.25péntek,9.8,4.3,6.9,0.0
2022.02.26szombat,8.3,2.6,6.1,0.0
2022.02.27vasárnap,8.6,3.6,6.3,0.0
2022.02.28hétfő,4.5,2.2,5.6,2.2
2022.03.01kedd,7.6,1.2,4.3,0.0
2022.03.02szerda,7.2,1.2,2.4,0.0
2022.03.03csütörtök,6.8,1.4,1.7,0.0
2022.03.04péntek,6.4,1.4,3.2,0.2
2022.03.05szombat,6.8,1.5,3.2,0.0
2022.03.06vasárnap,7.5,1.0,2.7,0.0
2022.03.07hétfő,6.8,2.8,3.9,0.3
2022.03.08kedd,7.3,1.1,4.0,0.0
2022.03.09szerda,9.2,1.9,2.5,0.0
2022.03.10csütörtök,6.3,1.0,5.3,1.4
2022.03.11péntek,4.6,-1.5,4.5,0.0
2022.03.12szombat,5.8,-0.6,3.2,0.0
2022.03.13vasárnap,8.4,0.4,2.0,0.0
2022.03.14hétfő,10.8,1.8,2.5,0.0
2022.03.15kedd,12.1,4.3,3.3,0.0
2022.03.16szerda,8.0,4.5,4.4,4.4
2022.03.17csütörtök,11.7,3.8,3.6,0.0
2022.03.18péntek,9.7,3.7,4.1,0.0
2022.03.19szombat,9.6,4.1,4.7,0.0
2022.03.20vasárnap,9.3,2.3,3.6,0.0
2022.03.21hétfő,11.6,3.6,3.2,0.0
2022.03.22kedd,16.0,5.5,2.3,0.0
2022.03.23szerda,16.9,7.8,1.8,0.0
2022.03.24csütörtök,18.7,9.3,3.7,0.0
2022.03.25péntek,17.0,8.5,2.5,0.0
2022.03.26szombat,17.5,9.0,4.5,0.0
2022.03.27vasárnap,15.4,9.9,3.6,0.0
2022.03.28hétfő,19.9,8.5,3.9,0.0
2022.03.29kedd,19.5,11.1,4.2,0.1
2022.03.30szerda,17.0,10.0,6.8,0.0
2022.03.31csütörtök,11.7,10.3,4.3,14.5
2022.04.01péntek,11.0,6.7,4.3,8.0
2022.04.02szombat,4.9,3.2,2.9,5.6
2022.04.03vasárnap,6.7,2.4,4.5,7.0
2022.04.04hétfő,9.0,1.2,4.3,0.0
2022.04.05kedd,10.9,3.3,5.2,0.0
2022.04.06szerda,17.3,7.6,4.2,0.0
2022.04.07csütörtök,16.4,10.1,4.6,0.0
2022.04.08péntek,13.3,9.9,4.5,1.3
2022.04.09szombat,13.0,7.5,8.7,16.5
2022.04.10vasárnap,12.2,5.6,6.7,0.0
2022.04.11hétfő,12.1,4.2,4.9,0.0
2022.04.12kedd,16.3,7.0,2.4,0.0
2022.04.13szerda,16.4,7.8,3.1,0.0
2022.04.14csütörtök,18.6,8.7,2.8,0.0
2022.04.15péntek,17.3,10.2,3.6,0.0
2022.04.16szombat,12.4,8.1,6.0,0.5
2022.04.17vasárnap,12.0,5.5,5.8,0.0
2022.04.18hétfő,11.0,6.0,4.9,0.3
2022.04.19kedd,10.6,5.8,2.8,1.3
2022.04.20szerda,12.7,6.0,3.1,1.6
2022.04.21csütörtök,16.3,6.7,4.0,0.0
2022.04.22péntek,12.3,9.2,5.7,2.9
2022.04.23szombat,10.8,8.8,2.3,2.9
2022.04.24vasárnap,20.0,9.3,8.7,0.1
2022.04.25hétfő,16.4,9.8,5.3,0.0
2022.04.26kedd,18.8,9.6,2.4,0.0
2022.04.27szerda,12.9,10.5,3.3,5.8
2022.04.28csütörtök,17.6,9.9,3.3,1.4
2022.04.29péntek,18.5,11.9,2.2,0.0
2022.04.30szombat,19.8,11.6,2.2,0.0
2022.05.01vasárnap,20.0,11.4,3.3,0.6
2022.05.02hétfő,20.5,13.3,1.7,0.9
2022.05.03kedd,21.6,13.2,2.6,0.3
2022.05.04szerda,22.6,13.6,3.3,0.1
2022.05.05csütörtök,23.1,12.4,3.6,0.3
2022.05.06péntek,23.0,14.0,3.0,0.1
2022.05.07szombat,22.5,15.7,3.9,0.3
2022.05.08vasárnap,22.7,14.4,2.1,2.6
2022.05.09hétfő,22.8,13.7,2.2,0.3
2022.05.10kedd,22.6,14.4,2.5,0.0
2022.05.11szerda,25.2,15.0,3.9,0.0
2022.05.12csütörtök,27.1,15.8,4.5,0.7
2022.05.13péntek,25.4,17.2,3.9,0.4
2022.05.14szombat,23.4,16.0,5.4,0.0
2022.05.15vasárnap,25.2,14.4,3.5,0.0
2022.05.16hétfő,24.3,17.5,2.2,0.0
2022.05.17kedd,20.8,15.7,5.9,3.7
2022.05.18szerda,20.1,14.0,3.7,0.0
2022.05.19csütörtök,22.0,11.4,3.5,0.0
2022.05.20péntek,25.5,12.7,3.1,0.0
2022.05.21szombat,22.9,17.2,7.6,0.3
2022.05.22vasárnap,22.5,14.5,6.0,0.0
2022.05.23hétfő,23.7,13.9,3.2,0.0
2022.05.24kedd,19.7,14.1,5.1,1.6
2022.05.25szerda,24.7,13.4,5.4,0.0
2022.05.26csütörtök,25.2,13.3,4.7,0.0
2022.05.27péntek,25.8,17.2,4.9,0.0
2022.05.28szombat,19.1,13.6,6.3,1.4
2022.05.29vasárnap,13.8,9.9,3.6,10.1
2022.05.30hétfő,20.4,9.8,4.3,1.1
2022.05.31kedd,24.1,11.3,3.1,0.0
2022.06.01szerda,25.0,15.7,5.3,0.7
2022.06.02csütörtök,27.3,16.8,4.9,0.0
2022.06.03péntek,28.6,16.8,3.4,0.0
2022.06.04szombat,25.8,18.6,5.9,5.0
2022.06.05vasárnap,27.2,18.9,4.2,0.2
2022.06.06hétfő,27.3,17.4,3.0,0.0
2022.06.07kedd,29.6,17.7,2.1,0.0
2022.06.08szerda,24.7,17.2,2.9,7.3
2022.06.09csütörtök,23.4,17.0,2.7,10.0
2022.06.10péntek,24.3,16.2,6.8,9.3
2022.06.11szombat,27.1,16.0,4.2,1.0
2022.06.12vasárnap,27.3,17.6,2.9,0.0
2022.06.13hétfő,28.3,18.3,6.2,0.0
2022.06.14kedd,23.0,14.6,4.7,0.0
2022.06.15szerda,26.5,14.4,1.9,0.0
2022.06.16csütörtök,28.1,17.5,6.5,3.4
2022.06.17péntek,25.3,15.5,6.1,0.0
2022.06.18szombat,27.5,16.1,2.2,0.0
2022.06.19vasárnap,30.6,19.0,4.3,0.0
2022.06.20hétfő,32.0,19.5,4.3,0.0
2022.06.21kedd,24.9,18.5,7.2,0.0
2022.06.22szerda,28.2,17.0,3.5,0.0
2022.06.23csütörtök,27.1,19.2,4.1,1.3
2022.06.24péntek,30.5,18.7,3.9,0.8
2022.06.25szombat,30.1,20.7,4.9,0.9
2022.06.26vasárnap,32.8,19.4,2.6,0.0
2022.06.27hétfő,35.4,23.0,2.5,0.0
2022.06.28kedd,34.5,23.5,3.0,0.5
2022.06.29szerda,36.4,23.7,4.6,0.0
2022.06.30csütörtök,36.9,24.9,4.8,0.0
2022.07.01péntek,37.5,21.2,6.4,0.0
2022.07.02szombat,31.4,18.0,6.0,0.1
2022.07.03vasárnap,33.6,21.3,3.3,0.0
2022.07.04hétfő,36.6,21.8,3.2,0.0
2022.07.05kedd,32.2,22.1,6.7,0.4
2022.07.06szerda,28.8,19.3,4.2,0.2
2022.07.07csütörtök,27.7,18.8,6.6,0.3
2022.07.08péntek,23.7,15.9,5.2,0.6
2022.07.09szombat,27.2,15.5,5.6,0.0
2022.07.10vasárnap,24.1,16.4,8.5,0.0
2022.07.11hétfő,25.1,13.0,6.1,0.0
2022.07.12kedd,27.1,14.3,5.4,0.0
2022.07.13szerda,31.3,16.0,5.4,0.0
2022.07.14csütörtök,34.8,21.1,4.6,0.0
2022.07.15péntek,29.9,22.0,6.7,0.0
2022.07.16szombat,30.6,19.4,6.5,0.0
2022.07.17vasárnap,28.7,16.5,5.0,0.0
2022.07.18hétfő,29.8,17.6,2.5,0.0
2022.07.19kedd,33.3,20.4,2.2,0.0
2022.07.20szerda,36.1,22.4,2.2,0.0
2022.07.21csütörtök,37.7,24.8,4.8,0.0
2022.07.22péntek,38.6,25.3,3.3,0.0
2022.07.23szombat,39.7,26.2,6.5,0.0
2022.07.24vasárnap,34.5,23.3,5.8,0.7
2022.07.25hétfő,34.8,22.3,2.6,0.0
2022.07.26kedd,31.9,23.7,6.2,0.4
2022.07.27szerda,33.1,20.7,4.0,0.0
2022.07.28csütörtök,33.7,22.2,5.0,0.0
2022.07.29péntek,35.0,23.9,5.0,0.9
2022.07.30szombat,32.5,21.7,6.6,0.5
2022.07.31vasárnap,25.3,18.0,7.0,0.0
2022.08.01hétfő,30.7,16.7,2.9,0.0
2022.08.02kedd,31.9,20.0,3.4,0.0
2022.08.03szerda,32.7,22.6,2.6,0.0
2022.08.04csütörtök,33.6,22.5,2.4,0.0
2022.08.05péntek,37.0,24.2,2.4,0.0
2022.08.06szombat,36.3,23.4,8.4,0.4
2022.08.07vasárnap,31.2,20.4,3.7,1.8
2022.08.08hétfő,31.2,21.8,5.3,0.7
2022.08.09kedd,30.9,18.9,5.2,1.0
2022.08.10szerda,29.8,20.6,6.3,0.0
2022.08.11csütörtök,29.2,19.4,5.2,0.0
2022.08.12péntek,29.2,19.1,3.6,0.0
2022.08.13szombat,32.1,21.3,4.1,0.0
2022.08.14vasárnap,32.1,21.9,2.1,0.0
2022.08.15hétfő,34.1,24.4,2.6,0.0
2022.08.16kedd,33.8,23.8,4.9,0.0
2022.08.17szerda,35.5,23.9,2.4,0.0
2022.08.18csütörtök,37.2,25.1,4.2,0.0
2022.08.19péntek,38.8,24.7,4.3,8.1
2022.08.20szombat,32.5,21.7,4.5,1.6
2022.08.21vasárnap,20.8,18.4,3.9,12.7
2022.08.22hétfő,23.3,17.9,3.2,8.7
2022.08.23kedd,24.7,18.4,3.7,0.0
2022.08.24szerda,29.5,19.2,2.6,0.4
2022.08.25csütörtök,31.6,20.7,2.1,1.8
2022.08.26péntek,33.2,23.2,2.7,0.0
2022.08.27szombat,33.7,23.3,1.9,0.0
2022.08.28vasárnap,28.4,22.3,3.8,0.0
2022.08.29hétfő,28.8,20.0,3.2,0.0
2022.08.30kedd,28.9,22.7,3.9,0.1
2022.08.31szerda,28.6,21.4,3.6,0.0
2022.09.01csütörtök,20.0,17.4,4.1,2.0
2022.09.02péntek,21.4,15.9,4.3,0.0
2022.09.03szombat,24.8,14.9,2.2,0.0
2022.09.04vasárnap,23.5,17.7,2.3,0.0
2022.09.05hétfő,25.3,18.7,1.9,0.0
2022.09.06kedd,25.9,20.6,3.6,1.0
2022.09.07szerda,29.4,20.1,2.8,0.0
2022.09.08csütörtök,30.6,18.8,6.1,3.5
2022.09.09péntek,26.7,17.7,4.5,1.6
2022.09.10szombat,23.3,16.0,5.7,8.1
2022.09.11vasárnap,22.9,16.6,6.3,0.0
2022.09.12hétfő,23.8,14.9,5.5,0.0
2022.09.13kedd,24.3,14.9,2.0,0.0
2022.09.14szerda,27.6,19.2,4.5,0.0
2022.09.15csütörtök,25.0,19.8,3.7,0.8
2022.09.16péntek,19.3,13.7,4.5,14.4
2022.09.17szombat,15.5,12.2,5.0,5.1
2022.09.18vasárnap,15.1,10.4,7.7,3.3
2022.09.19hétfő,14.1,11.2,7.5,2.5
2022.09.20kedd,14.2,9.5,6.4,0.0
2022.09.21szerda,17.7,9.3,3.5,0.9
2022.09.22csütörtök,18.6,10.4,2.2,0.0
2022.09.23péntek,18.0,11.8,3.2,0.0
2022.09.24szombat,19.7,12.3,4.2,0.0
2022.09.25vasárnap,16.7,13.6,5.0,0.2
2022.09.26hétfő,17.4,13.3,2.1,6.8
2022.09.27kedd,15.7,11.6,4.2,2.6
2022.09.28szerda,16.0,11.4,4.8,0.6
2022.09.29csütörtök,16.5,13.9,2.9,6.7
2022.09.30péntek,21.1,14.6,3.5,12.9
2022.10.01szombat,18.8,14.1,6.5,3.3
2022.10.02vasárnap,18.1,12.9,8.0,0.0
2022.10.03hétfő,15.4,12.2,7.3,0.0
2022.10.04kedd,17.7,12.0,4.5,0.0
2022.10.05szerda,18.5,11.6,3.3,0.0
2022.10.06csütörtök,19.7,13.0,1.8,0.0
2022.10.07péntek,20.8,14.0,3.3,0.0
2022.10.08szombat,20.1,13.7,2.2,0.0
2022.10.09vasárnap,19.5,14.1,3.2,0.0
2022.10.10hétfő,19.0,11.8,3.4,0.0
2022.10.11kedd,20.0,13.6,2.4,0.0
2022.10.12szerda,18.9,13.9,1.8,0.0
2022.10.13csütörtök,19.1,13.1,1.6,0.0
2022.10.14péntek,18.7,13.2,1.7,0.0
2022.10.15szombat,19.5,12.7,4.3,0.0
2022.10.16vasárnap,20.3,14.3,3.1,0.0
2022.10.17hétfő,20.8,13.8,2.1,0.0
2022.10.18kedd,20.1,14.0,2.6,0.0
2022.10.19szerda,20.9,13.8,3.8,0.0
2022.10.20csütörtök,14.9,10.2,2.3,0.0
2022.10.21péntek,16.0,8.6,4.9,0.0
2022.10.22szombat,18.4,11.7,4.6,0.1
2022.10.23vasárnap,19.4,11.3,3.8,0.0
2022.10.24hétfő,18.8,13.7,1.7,0.0
2022.10.25kedd,19.8,14.1,4.4,0.0
2022.10.26szerda,19.9,13.9,1.7,0.0
2022.10.27csütörtök,19.9,13.8,1.7,0.0
2022.10.28péntek,19.3,13.5,1.6,0.0
2022.10.29szombat,21.0,14.1,2.2,0.0
2022.10.30vasárnap,21.1,14.6,1.2,0.0
2022.10.31hétfő,21.0,14.4,1.7,0.0
